Местное время в Сургуте / им. Ф. К. Салманова (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
09.06.2023 23:30;10.0;756.8;762.0;94;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 23:00;11.0;756.8;762.0;88;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 22:30;12.0;756.8;762.0;82;Ветер, дующий с западо-юго-запада;3;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 22:00;12.0;756.8;762.0;82;Ветер, дующий с западо-юго-запада;2;;;;Рассеянная (40-50%) 1140 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 21:30;12.0;756.8;762.0;88;Штиль, безветрие;0;;;;Рассеянная (40-50%) 870 м, кучево-дождевые облака;9.0;10.0
09.06.2023 21:00;12.0;756.8;762.0;82;Штиль, безветрие;0;;Дымка;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 20:30;12.0;756.8;762.0;88;Штиль, безветрие;0;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;10.0
09.06.2023 20:00;12.0;756.8;762.0;82;Переменное направление;1;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 19:30;12.0;756.8;762.0;77;Ветер, дующий с западо-северо-запада;2;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;8.0
09.06.2023 19:00;12.0;756.8;762.0;82;Ветер, дующий с северо-запада;2;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 18:30;12.0;756.8;762.0;82;Ветер, дующий с западо-северо-запада;3;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 18:00;12.0;756.0;761.2;82;Ветер, дующий с западо-северо-запада;3;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;9.0
09.06.2023 17:30;12.0;756.0;761.2;77;Ветер, дующий с северо-северо-запада;2;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;8.0
09.06.2023 17:00;12.0;756.0;761.2;77;Ветер, дующий с северо-северо-востока;4;;;;Рассеянная (40-50%) 1200 м, кучево-дождевые облака;10.0 и более;8.0
09.06.2023 16:30;15.0;756.1;761.2;55;Ветер, дующий с востоко-северо-востока;2;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;6.0
09.06.2023 16:00;16.0;756.1;761.2;45;Переменное направление;1;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;4.0
09.06.2023 15:30;16.0;756.1;761.2;42;Переменное направление;1;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;3.0
09.06.2023 15:00;16.0;756.1;761.2;42;Ветер, дующий с юго-запада;2;;;;Незначительная (10-30%) 1200 м, кучево-дождевые облака;10.0 и более;3.0
09.06.2023 14:30;16.0;755.4;760.5;42;Ветер, дующий с востока;3;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 14:00;15.0;755.4;760.5;45;Ветер, дующий с северо-востока;4;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 13:30;16.0;755.4;760.5;42;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 13:00;15.0;756.1;761.2;45;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 12:30;16.0;756.1;761.2;42;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 12:00;15.0;755.4;760.5;45;Ветер, дующий с северо-востока;2;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 11:30;15.0;755.4;760.5;45;Ветер, дующий с севера;2;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 11:00;15.0;755.4;760.5;45;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 10:30;15.0;755.4;760.5;45;Ветер, дующий с востоко-юго-востока;3;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 10:00;14.0;755.4;760.5;48;Ветер, дующий с востоко-северо-востока;3;;;;Нет существенной облачности;10.0 и более;3.0
09.06.2023 9:30;13.0;755.3;760.5;51;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;3.0
